spotify_artist_name,spotify_artist_id,spotify_artist_followers,spotify_artist_genres
Sunidhi Chauhan,3eDT9fwXKuHWFvgZaaYC5v,17357558,"bollywood,desi,hindi pop"
Benjamin Blümchen,1l6d0RIxTL3JytlLGvWzYe,192015,children's music
Rage Against The Machine,2d0hyoQ5ynDBnkvAbJKORj,6745036,"rap metal,rap rock,alternative metal,nu metal"
The White Stripes,4F84IBURUo98rz4r61KF70,3469093,"garage rock,blues rock,rock,alternative rock"
Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,5735135,"southern rock,classic rock,rock"
Dido,2mpeljBig2IXLXRAFO9AAs,2084181,
Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,6445248,"blues,blues rock,classic rock"
Bob Dylan,74ASZWbe4lXaubB36ztrGX,7232543,"folk rock,folk,singer-songwriter,roots rock,country rock"
Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,1945691,"soul,classic soul,motown"
Louis Armstrong,19eLuQmk9aCobbVDHc6eek,3179570,"jazz,swing music,big band,vocal jazz,jazz blues"
Enya,6uothxMWeLWIhsGeF7cyo4,2490918,"new age,celtic"
Papa Roach,4RddZ3iHvSpGV4dvATac9X,5910855,"nu metal,rap metal,alternative metal,rap rock,rock"
Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY,6908985,"metal,glam metal,heavy metal,hard rock"
a-ha,2jzc5TC5TVFLXQlBNiIUzE,2792824,"new wave,synthpop"
Mötley Crüe,0cc6vw3VN8YlIcvr1v7tBL,5817870,"glam metal,hard rock,glam rock"
Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,6004614,"grunge,post-grunge"
Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,2687921,"vocal jazz,jazz,swing music,jazz blues,big band,christmas"
Sade,47zz7sob9NUcODy0BTDvKx,4874595,
Wyclef Jean,7aBzpmFXB4WWpPl2F7RjBe,410213,
Antonio Vivaldi,2QOIawHpSlOwXDvSqQ9YJR,2683776,classical
Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,5795377,"folk rock,folk"
Robbie Williams,2HcwFjNelS49kFbfvMxQYw,3246098,
Patrick Watson,7bPs6jf983f0bjRAt1yxDM,885045,
Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,3090082,east coast hip hop
Paul McCartney,4STHEaNw4mPZ2tzheohgXB,5170985,
Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,5029997,"rock en español,latin rock,argentine rock,mexican rock,latin alternative"
Hombres G,60uh2KYYSCqAgJNxcU4DA0,4952043,"rock en español,latin rock,mexican rock"
Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2298337,baroque pop
Prince,5a2EaR3hamoenG9rDuVn8j,7756413,funk rock
Boney M.,54R6Y0I7jGUCveDTtI21nb,2255973,disco
Willie Nelson,5W5bDNCqJ1jbCgTxDD0Cb3,2512168,"outlaw country,classic country,country,honky tonk,traditional country"
Van Morrison,44NX2ffIYHr6D4n7RaZF7A,3524613,
Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,3380393,neo soul
Lil Jon,7sfl4Xt5KmfyDs2T3SVSMK,1663874,crunk
Chayanne,1JbemQ1fPt2YmSLjAFhPBv,9030122,latin pop
Alan Jackson,4mxWe1mtYIYfP040G38yvS,3251292,"country,christian country,classic country"
Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,7968605,
Bronco,0VKh7CQDi9MkUvaBMoK1V0,4432326,"grupera,norteño,cumbia,cumbia norteña,tejano,banda"
Ana Gabriel,41ESHLayJ5sDKjAOv6cMhe,5364895,"mariachi,ranchera"
Brenda Lee,4cPHsZM98sKzmV26wlwD2W,455009,christmas
Ashanti,5rkVyNGXEgeUqKkB5ccK83,3480883,r&b
Andy Williams,4sj6D0zlMOl25nprDJBiU9,583925,"christmas,adult standards"
Jesús Adrián Romero,29SeiO68HQHBs7pDdWOvvX,5672365,"christian,worship"
Bruno & Marrone,5JXhkyafynxCvxtov7C1PV,6585332,"sertanejo,sertanejo tradicional,sertanejo universitário"
Method Man,4VmEWwd8y9MCLwexFMdpwt,2325074,"east coast hip hop,old school hip hop,hip hop,hardcore hip hop"
Sezen Aksu,64d1rUxfizSAOE9UbMnUZd,12946027,"turkish pop,arabesk"
G. V. Prakash,5VVN3xZw1i2qihfITZlvCZ,15569775,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood"
Banda El Recodo,6AcOTCYBMvjKYy4zms0kaC,4353288,"banda,norteño,música mexicana,grupera,corrido"
Devi Sri Prasad,5sSzCxHtgL82pYDvx2QyEU,11492293,"telugu pop,tollywood,tamil dance,tamil pop,kollywood"
Hariharan,2NoJ7NuNs9nyj8Thoh1kbu,7078245,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop"
Karthik,0LSPREIgGMZXCuKVel7LVD,5323973,"telugu pop,tollywood,tamil pop,kollywood,kannada pop,malayalam pop,tamil dance,mollywood"
Harris Jayaraj,29aw5YCdIw2FEXYyAJZI8l,10007992,"tamil pop,kollywood,tamil dance"
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,4804842,post-grunge
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,4128054,"blues rock,garage rock,modern blues,rock"
Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,4860075,"industrial metal,industrial rock,industrial,metal,nu metal"
Santana,6GI52t8N5F02MxU0g5U69P,3722909,
Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,4375745,art rock
Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,7257004,"psychedelic rock,classic rock,acid rock,blues rock"
Sum 41,0qT79UgT5tY4yudH9VfsdT,4249603,"pop punk,punk,skate punk"
Coolio,3y24n3XhZ96wgwRXjvS17T,1749228,"west coast hip hop,g-funk"
Megadeth,1Yox196W7bzVNZI7RBaPnf,5991603,"thrash metal,metal,heavy metal,speed metal"
The Clash,3RGLhK1IP9jnYFH4BRFJBS,3092748,punk
Otis Redding,60df5JBRRPcnSpsIMxxwQm,2484261,"soul,motown,classic soul,soul blues"
Sting,0Ty63ceoRnnJKVEYP0VQpk,3764159,soft rock
Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,3572290,"big room,electronica,edm,electro"
Gustavo Cerati,1QOmebWGB6FdFtW7Bo3F0W,5383506,"argentine rock,latin rock,rock en español,latin alternative"
DMX,1HwM5zlC5qNWhJtM00yXzG,5819822,"east coast hip hop,old school hip hop,hardcore hip hop"
Tech N9ne,6UBA15slIuadJ8h2lPRPos,2875273,horrorcore
The Jackson 5,2iE18Oxc8YSumAU232n4rW,1806325,"motown,christmas"
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,3728810,"soul,motown,classic soul,jazz blues"
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,3177507,
Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,2766015,"argentine rock,rock en español,latin rock"
Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,4271671,r&b
Andrea Bocelli,3EA9hVIzKfFiQI0Kikz2wo,3132539,opera
Lionel Richie,3gMaNLQm7D9MornNILzdSl,4342176,motown
José Feliciano,7K78lVZ8XzkjfRSI7570FF,450012,"christmas,bolero,villancicos"
Duster,5AyEXCtu3xnnsTGCo4RVZh,1246019,"slowcore,shoegaze"
Sin Bandera,7xeM7V59cA1X8GKyKKQV87,6645593,latin pop
Pyotr Ilyich Tchaikovsky,3MKCzCnpzw3TjUYs2v7vDA,1502936,"classical,orchestra"
Hillsong UNITED,74cb3MG0x0BOnYNW1uXYnM,4199626,"worship,christian,ccm,pop worship,gospel"
Laura Pausini,2e4nwiX8ZCU09LGLOpeqTH,2797561,"latin pop,italo dance"
Westlife,5Z1CCuBsyhEHngq3U5IraY,4657450,
Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,2215728,dance pop
Missy Elliott,2wIVse2owClT7go1WT98tk,2686360,hip hop
Cristian Castro,2AZOALDIBORfbzKTuliwdJ,4187740,latin pop
Claude Debussy,1Uff91EOsvd99rtAupatMP,1628806,"classical,classical piano"
Roberto Carlos,7fAKtXSdNInWAIf0jVUz65,6720843,"mpb,brega,bolero"
Hikaru Utada,7lbSsjYACZHn1MSDXPxNF2,3983243,"j-pop,j-r&b,anime"
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,4956790,"country,classic country"
The Alchemist,0eVyjRhzZKke2KFYTcDkeu,854028,"alternative hip hop,jazz rap,experimental hip hop,boom bap"
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,4808243,country
Pepe Aguilar,03Yb3iBy9GCifXiATEFcit,4755539,"mariachi,ranchera,banda,música mexicana"
Thalia,23wEWD21D4TPYiJugoXmYb,5166897,latin pop
Rocío Dúrcal,2uyweLa0mvPZH6eRzDddeB,5204936,"mariachi,ranchera,bolero"
Selena,6IE6z7DcZIT4Ml3Fh5Ivch,4243454,"tejano,cumbia,música mexicana"
R. D. Burman,2JSYASbWU5Y0fVpts3Eq7g,5850548,"ghazal,hindi pop,bollywood,bangla pop"
Guru Randhawa,5rQoBDKFnd1n6BkdbgVaRL,21571796,"bhangra,punjabi pop,desi,bollywood,hindi pop,desi pop"
