genre,tracks,views_sum,views_mean,streams_sum,streams_mean,freq_z,views_z,score
glam rock,90,7673515798.0,85261286.64444445,18496136725.0,212599272.70114943,0.12938471100554763,0.16061027131401862,0.14187493512893604
gospel,65,2944260597.0,45296316.87692308,2647919944.0,49035554.518518515,-0.12854249970526732,-0.2153058750910443,-0.1632478498595781
gospel r&b,20,395182235.0,19759111.75,437954271.0,21897713.55,-0.5928114789847343,-0.4179254576682227,-0.5228570704581297
gothic metal,10,459188062.0,45918806.2,339448749.0,42431093.625,-0.6959823632690603,-0.4128378016186567,-0.5827245386088988
gothic rock,50,1223123394.0,24462467.88,1466890557.0,38602383.078947365,-0.28329882613175633,-0.35211457694526854,-0.3108251264571612
gregorian chant,10,2349097.0,234909.7,106527038.0,10652703.8,-0.6959823632690603,-0.44915073800114763,-0.5972497131618952
grime,72,2261253295.0,31406295.763888888,6182245036.0,87073873.74647887,-0.056322880706239135,-0.26959634198741067,-0.14163226521870775
groove metal,50,1909688286.0,38193765.72,3397314358.0,67946287.16,-0.28329882613175633,-0.29754132650975074,-0.28899582628295406
grunge,70,7965468017.0,113792400.24285714,15186947291.0,226670855.08955225,-0.07695705756310434,0.18381679082636815,0.02735248179268466
grupera,391,23029820623.0,59202623.70951157,26197888554.0,68941811.98421052,3.23482832796376,1.3812428418749902,2.493394133528252
guaracha,18,395205512.0,21955861.777777776,390480945.0,21693385.833333332,-0.6134456558415995,-0.417923607440276,-0.5352368364810701
gufeng,10,641639156.0,64163915.6,509924223.0,50992422.3,-0.6959823632690603,-0.3983352405918453,-0.5769235141981743
gujarati garba,68,11149885738.0,168937662.6969697,2718541724.0,39978554.76470588,-0.09759123441996953,0.4369378399863271,0.11622039534254916
gujarati pop,25,3528173482.0,147007228.41666666,1031456115.0,41258244.6,-0.5412260368425713,-0.1688921646363729,-0.392292487960092
happy hardcore,10,243576231.0,24357623.1,461041103.0,46104110.3,-0.6959823632690603,-0.42997622303683714,-0.589579907176171
harana,50,479338384.0,11983459.6,2957116958.0,59142339.16,-0.28329882613175633,-0.4112361051414906,-0.33447373773565003
hard bop,10,32084078.0,3208407.8,413724337.0,41372433.7,-0.6959823632690603,-0.4467871820085287,-0.5963042907648477
hard rock,249,23873100522.0,95875905.71084337,36739271590.0,167759231.00456622,1.7698017711263307,1.4482729589864332,1.6411902462703716
